UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,OPEN,HIGH,LOW,CLOSE,FIRST_MESSAGE_TIMESTAMP,LAST_MESSAGE_TIMESTAMP,FIRST_MESSAGE_VALUE,HIGH_MESSAGE_VALUE,HIGH_MESSAGE_TIMESTAMP,LOW_MESSAGE_VALUE,LOW_MESSAGE_TIMESTAMP,LAST_MESSAGE_VALUE,TOTAL_INDEX_UPDATES,VOLUME,QUOTE_VOLUME,VOLUME_TOP_TIER,QUOTE_VOLUME_TOP_TIER,VOLUME_DIRECT,QUOTE_VOLUME_DIRECT,VOLUME_TOP_TIER_DIRECT,QUOTE_VOLUME_TOP_TIER_DIRECT
DAY,1304035200,267,cadli,BTC-USD,2.21059,2.94,2.21,2.88,1304035260,1304121300,2.211,2.94,1304112600,2.21,1304041860,2.88,514,57577.324,148954.47357215,57577.324,148954.47357215,57577.324,148954.47357215,57577.324,148954.47357215
DAY,1304121600,267,cadli,BTC-USD,2.88,4.07628563993897,2.75,3.50272007323498,1304121900,1304205600,2.88591183869774,4.07628563993897,1304191380,2.75,1304160540,3.50272007323498,438,65427.797,214977.23542233,65427.797,214977.23542233,65427.797,214977.23542233,65427.797,214977.23542233
DAY,1304208000,267,cadli,BTC-USD,3.50272007323498,3.87,2.50751575505978,3.03311,1304209920,1304294220,3.5,3.87,1304236860,2.50751575505978,1304251260,3.03311,390,45772.074,143521.98265442,45772.074,143521.98265442,45772.074,143521.98265442,45772.074,143521.98265442
DAY,1304294400,267,cadli,BTC-USD,3.03311,3.495,3.02913202846406,3.2,1304294580,1304377380,3.0988,3.495,1304355780,3.02913202846406,1304299860,3.2,259,18333.831,59421.72104344,18333.831,59421.72104344,18333.831,59421.72104344,18333.831,59421.72104344
DAY,1304380800,267,cadli,BTC-USD,3.2,3.48999647619048,3.11,3.40251328891218,1304383320,1304467140,3.2,3.48999647619048,1304432040,3.11,1304427840,3.40251328891218,246,16919.179,56187.47500382,16919.179,56187.47500382,16919.179,56187.47500382,16919.179,56187.47500382
DAY,1304467200,267,cadli,BTC-USD,3.40251328891218,3.56991,3.25,3.40609,1304467200,1304553360,3.45738235665482,3.56991,1304523720,3.25,1304478240,3.40609,329,17278.288,59434.10799509,17278.288,59434.10799509,17278.288,59434.10799509,17278.288,59434.10799509
DAY,1304553600,267,cadli,BTC-USD,3.40609,3.4498,3.333,3.333,1304553600,1304639700,3.40490968828929,3.4498,1304561760,3.333,1304639700,3.333,295,15350.341,52331.39303194,15350.341,52331.39303194,15350.341,52331.39303194,15350.341,52331.39303194
DAY,1304640000,267,cadli,BTC-USD,3.333,3.610005,3.29,3.45059943977591,1304640300,1304724960,3.333,3.610005,1304706240,3.29,1304646180,3.45059943977591,300,23014.698,80063.98069794,23014.698,80063.98069794,23014.698,80063.98069794,23014.698,80063.98069794
DAY,1304726400,267,cadli,BTC-USD,3.45059943977591,3.7,3.425,3.641,1304727060,1304812740,3.45,3.7,1304787300,3.425,1304735820,3.641,174,17833.289,64359.67749143,17833.289,64359.67749143,17833.289,64359.67749143,17833.289,64359.67749143
DAY,1304812800,267,cadli,BTC-USD,3.641,3.937,3.63,3.8658347826087,1304813220,1304899020,3.64080792533333,3.937,1304897640,3.63,1304817060,3.8658347826087,271,21132.514,79620.80698142,21132.514,79620.80698142,21132.514,79620.80698142,21132.514,79620.80698142
DAY,1304899200,267,cadli,BTC-USD,3.8658347826087,3.9,3.6911,3.8,1304899200,1304985000,3.8661209054027,3.9,1304954040,3.6911,1304912520,3.8,356,11520.926,43805.91812508,11520.926,43805.91812508,11520.926,43805.91812508,11520.926,43805.91812508
